source,box,text
C:\Users\MAAZ\Pictures\vlcsnap-2025-05-05-07h43m41s531.png,"[846, 965, 881, 977]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1726, 749, 1763, 773]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[299, 752, 376, 784]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1084, 761, 1156, 788]",Ui-0
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[311, 731, 381, 761]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1084, 756, 1155, 784]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1082, 744, 1155, 773]","""57"
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1081, 737, 1154, 768]",4570
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1081, 733, 1151, 761]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1077, 722, 1152, 752]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[617, 762, 652, 774]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[610, 749, 657, 763]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[620, 739, 655, 751]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[610, 756, 686, 790]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[611, 743, 689, 780]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[612, 728, 689, 761]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1, 762, 62, 786]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[3, 759, 65, 783]",5i @J
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[3, 755, 67, 776]",1 - Wt
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[7, 750, 72, 773]",Sn]
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[10, 745, 74, 768]",ena
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[11, 737, 80, 763]",1-01
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[9, 733, 81, 760]",7-0e
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[12, 729, 85, 755]","5,/-029"
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[20, 726, 86, 752]",7-04
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1352, 755, 1446, 793]",IBKH_980
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1358, 752, 1446, 784]",IbXH_900
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1348, 748, 1448, 781]",@Xhe%ud]
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1363, 739, 1444, 775]",Ibxh  9b0
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1364, 735, 1444, 768]",Ybxh_pb0]
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1343, 728, 1446, 768]",Yxhe whu]
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1361, 726, 1444, 757]",bh_qu0]
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1361, 723, 1442, 754]",Ipxw_peg]
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[304, 760, 376, 788]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[308, 753, 379, 778]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[312, 739, 384, 769]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[319, 728, 390, 755]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1811, 758, 1913, 790]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1804, 745, 1906, 779]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1797, 732, 1899, 769]",
datasets/car-number-plate/videos/VID_20250516_184152.mp4,"[1796, 724, 1901, 761]",Ijm
