epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.529,1.6912,8.92697,1.71494,0.33908,0.24038,0.18557,0.07869,1.30847,13.9959,1.09302,0.00024,0.00024,0.00024
2,71.8076,1.34743,2.93614,1.07551,0.82324,0.28846,0.35205,0.18322,1.67616,6.19038,1.07031,0.0004901,0.0004901,0.0004901
3,105.462,1.35477,1.76552,1.1151,0.45721,0.32692,0.28389,0.16453,1.61794,8.49367,1.18152,0.000729904,0.000729904,0.000729904
4,142.709,1.40754,1.36147,1.11344,0.01281,0.43269,0.00989,0.00497,1.6162,inf,1.24888,0.000959412,0.000959412,0.000959412
5,178.535,1.40668,1.20673,1.11435,0.07162,0.18269,0.03284,0.01704,1.61146,12.5777,1.31564,0.00117862,0.00117862,0.00117862
6,209.491,1.42575,1.0613,1.1202,0.10452,0.18269,0.07596,0.03278,1.58669,7.31449,1.36877,0.00138754,0.00138754,0.00138754
7,243.364,1.40466,1.09799,1.15594,0.39784,0.25962,0.24169,0.1283,1.71975,3.01035,1.26989,0.00158616,0.00158616,0.00158616
8,273.831,1.41026,1.08193,1.1589,0.31657,0.23077,0.16003,0.07981,nan,nan,nan,0.0017228,0.0017228,0.0017228
9,309.156,1.33697,0.98989,1.10214,0.56928,0.29808,0.29284,0.148,nan,nan,nan,0.0016832,0.0016832,0.0016832
10,349.091,1.38519,1.0334,1.12454,0,0,0,0,nan,nan,nan,0.0016436,0.0016436,0.0016436
11,381.245,1.37977,1.0106,1.12985,0.55785,0.36397,0.39529,0.20683,2.06417,2.0201,1.45134,0.001604,0.001604,0.001604
12,419.444,1.24737,0.86412,1.07144,0.74445,0.44231,0.53902,0.28213,1.46858,1.26971,1.10269,0.0015644,0.0015644,0.0015644
13,458.504,1.26617,0.82621,1.0532,0.76992,0.47115,0.56864,0.28056,1.61803,1.94242,1.1101,0.0015248,0.0015248,0.0015248
14,499.142,1.2866,0.85389,1.10771,0.7443,0.53181,0.61536,0.30773,1.43859,2.03689,1.13781,0.0014852,0.0014852,0.0014852
15,544.951,1.27617,0.82784,1.0779,0.54493,0.48362,0.44155,0.21803,1.57771,2.26366,1.21565,0.0014456,0.0014456,0.0014456
16,579.73,1.19563,0.83195,1.04191,0.74196,0.55769,0.60047,0.32774,1.35834,2.31983,1.04893,0.001406,0.001406,0.001406
17,613.525,1.14437,0.76944,1.02147,0.8327,0.57432,0.68288,0.36116,1.37886,1.19345,1.04136,0.0013664,0.0013664,0.0013664
18,650.756,1.16054,0.73038,1.04991,0.69317,0.5,0.55214,0.30195,1.4194,0.9855,1.06631,0.0013268,0.0013268,0.0013268
19,687.441,1.14814,0.74852,1.0277,0.66225,0.75416,0.73719,0.38572,1.32086,0.82099,1.02296,0.0012872,0.0012872,0.0012872
20,720.97,1.1054,0.7217,0.99197,0.84976,0.64423,0.71516,0.37486,1.33635,0.90288,1.0398,0.0012476,0.0012476,0.0012476
21,756.428,1.08511,0.69488,1.01763,0.90586,0.64768,0.7184,0.40552,1.35846,0.89023,1.04782,0.001208,0.001208,0.001208
22,795.42,1.11174,0.67671,1.00945,0.81171,0.60577,0.63902,0.34727,1.34517,1.11988,1.06192,0.0011684,0.0011684,0.0011684
23,832.233,1.13335,0.66523,1.01151,0.90099,0.68269,0.74057,0.42258,1.23561,0.6324,0.98783,0.0011288,0.0011288,0.0011288
24,874.416,1.15151,0.72,1.01863,0.91162,0.69424,0.77362,0.40225,1.28876,0.69879,0.98585,0.0010892,0.0010892,0.0010892
25,913.669,1.1103,0.6849,0.98197,0.85875,0.70148,0.78734,0.44736,1.25957,0.77345,1.00253,0.0010496,0.0010496,0.0010496
26,944.292,1.01751,0.63409,0.99057,0.92412,0.70261,0.80001,0.46308,1.21349,0.60477,1.00717,0.00101,0.00101,0.00101
27,984.226,1.02408,0.6248,0.97934,0.91263,0.67308,0.80761,0.46251,1.22544,0.64131,0.98415,0.0009704,0.0009704,0.0009704
28,1022.07,1.02364,0.63134,0.96149,0.88804,0.68642,0.79091,0.45346,1.15033,0.55457,0.96301,0.0009308,0.0009308,0.0009308
29,1056.09,0.98213,0.6057,0.96932,0.86566,0.68159,0.77699,0.43633,1.31352,0.64891,0.99897,0.0008912,0.0008912,0.0008912
30,1095.32,0.96686,0.6114,1.00187,0.89714,0.70192,0.80775,0.49568,1.18196,0.55311,0.96671,0.0008516,0.0008516,0.0008516
31,1138.09,0.99903,0.61291,0.98048,0.87086,0.77812,0.81519,0.47152,1.1319,0.54648,0.95095,0.000812,0.000812,0.000812
32,1180.21,0.97087,0.59607,0.97754,0.83156,0.75962,0.794,0.4681,1.12481,0.5275,0.94127,0.0007724,0.0007724,0.0007724
33,1210.43,1.0025,0.59871,0.9696,0.92934,0.75874,0.84388,0.49675,1.13613,0.51833,0.94668,0.0007328,0.0007328,0.0007328
34,1265.04,0.97907,0.611,0.96518,0.9473,0.76923,0.84681,0.51322,1.14384,0.52645,0.95194,0.0006932,0.0006932,0.0006932
35,1304.38,0.9571,0.57449,0.95147,0.84214,0.71154,0.77474,0.48221,1.10482,0.53418,0.94198,0.0006536,0.0006536,0.0006536
36,1332.64,0.91186,0.5497,0.94897,0.88875,0.70192,0.79183,0.49857,1.07236,0.52351,0.92868,0.000614,0.000614,0.000614
37,1367.19,0.90933,0.56194,0.94235,0.91025,0.78015,0.85664,0.53489,1.04377,0.5039,0.92833,0.0005744,0.0005744,0.0005744
